category,sub_category,company_url
Animals & Pets,Animal Health,https://www.trustpilot.com/categories/veterinarian
Animals & Pets,Animal Health,https://www.trustpilot.com/categories/emergency_veterinarian_service
Animals & Pets,Animal Health,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Animal Parks & Zoo,https://www.trustpilot.com/categories/zoo
Animals & Pets,Animal Parks & Zoo,https://www.trustpilot.com/categories/animal_park
Animals & Pets,Animal Parks & Zoo,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/dog_trainer
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/dog_walker
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/kennel
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/dog_day_care_center
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/dog_breeder
Animals & Pets,Cats & Dogs,https://www.trustpilot.com/categories/dog_park
Animals & Pets,Horses & Riding,https://www.trustpilot.com/categories/horseback_riding_service
Animals & Pets,Horses & Riding,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/animal_control_service
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_groomer
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_boarding_service
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_moving_service
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_trainer
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_adoption_service
Animals & Pets,Pet Services,https://www.trustpilot.com/categories/pet_sitter
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/pet_supply_store
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/animals_pets
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/reptile_store
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/bird_shop
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/aquarium_shop
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/pet_store
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/feed_store
Animals & Pets,Pet Stores,https://www.trustpilot.com/categories/tack_shop
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/flavours_fragrances_and_aroma_supplier
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/cosmetic_products_manufacturer
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/beauty_products_wholesaler
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/beauty_supply_store
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/beauty_product_supplier
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/beauty_wellbeing
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/cosmetics_industry
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/cosmetics_wholesaler
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/perfume_store
Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/categories/makeup_artist
